batch_size,processed_response,error
60,"{
  ""themes"": [
    {
      ""name"": ""News and Politics"",
      ""confidence"": 80,
      ""sub_themes"": [
        ""US Politics"",
        ""UK Politics"",
        ""Social Justice"",
        ""Economy""
      ],
      ""keywords"": [
        ""Article 50"",
        ""MakeAmericaGreatAgain"",
        ""TrumpTrain"",
        ""LabourMustWin""
      ],
      ""sentiment"": ""neutral""
    },
    {
      ""name"": ""Entertainment"",
      ""confidence"": 75,
      ""sub_themes"": [
        ""Music"",
        ""Movies"",
        ""TV Shows""
      ],
      ""keywords"": [
        ""Little Mix"",
        ""Harry Styles"",
        ""La Noire"",
        ""The X Factor""
      ],
      ""sentiment"": ""positive""
    },
    {
      ""name"": ""Sports"",
      ""confidence"": 60,
      ""sub_themes"": [
        ""Football"",
        ""Basketball"",
        ""Swimming""
      ],
      ""keywords"": [
        ""Floppy Disk"",
        ""Sheriff"",
        ""GOGURT""
      ],
      ""sentiment"": ""neutral""
    },
    {
      ""name"": ""Social Media"",
      ""confidence"": 85,
      ""sub_themes"": [
        ""Twitter"",
        ""Facebook"",
        ""Instagram""
      ],
      ""keywords"": [
        ""Doo-dah"",
        ""Emoji"",
        ""Meme""
      ],
      ""sentiment"": ""positive""
    },
    {
      ""name"": ""Education"",
      ""confidence"": 50,
      ""sub_themes"": [
        ""Mathematics"",
        ""Science"",
        ""History""
      ],
      ""keywords"": [
        ""Ghost Kanji"",
        ""Robodebt"",
        ""Centrelink""
      ],
      ""sentiment"": ""negative""
    },
    {
      ""name"": ""Technology"",
      ""confidence"": 70,
      ""sub_themes"": [
        ""Programming"",
        ""Gaming"",
        ""Artificial Intelligence""
      ],
      ""keywords"": [
        ""Apigee"",
        ""API"",
        ""Machine Learning""
      ],
      ""sentiment"": ""neutral""
    }
  ],
  ""metadata"": {
    ""tweet_length"": 140,
    ""language"": ""en"",
    ""contains_hashtags"": true,
    ""contains_mentions"": true
  }
}",
60,,"Error code: 429 - {'error': {'message': 'Request was rejected due to request rate limiting. Your rate limits are 60 RPM (1 QPS) and 60000 TPM (1000 TPS). See details: https://docs.together.ai/docs/rate-limits', 'type': 'credit_limit', 'param': None, 'code': None}}"
60,,"Error code: 429 - {'error': {'message': 'Request was rejected due to request rate limiting. Your rate limits are 60 RPM (1 QPS) and 60000 TPM (1000 TPS). See details: https://docs.together.ai/docs/rate-limits', 'type': 'credit_limit', 'param': None, 'code': None}}"
60,,"Error code: 429 - {'error': {'message': 'Request was rejected due to request rate limiting. Your rate limits are 60 RPM (1 QPS) and 60000 TPM (1000 TPS). See details: https://docs.together.ai/docs/rate-limits', 'type': 'credit_limit', 'param': None, 'code': None}}"
60,,"Error code: 429 - {'error': {'message': 'Request was rejected due to request rate limiting. Your rate limits are 60 RPM (1 QPS) and 60000 TPM (1000 TPS). See details: https://docs.together.ai/docs/rate-limits', 'type': 'credit_limit', 'param': None, 'code': None}}"
60,"```json
{
  ""themes"": [
    {
      ""name"": ""Politics and Social Justice"",
      ""confidence"": 85,
      ""sub_themes"": [""Hate crimes"", ""Racism"", ""Gun control"", ""Politics""],
      ""keywords"": [""London"", ""NaTolerance"", ""Kavanaugh"", ""NRA"", ""Trump""],
      ""sentiment"": ""negative""
    },
    {
      ""name"": ""Sports and Fitness"",
      ""confidence"": 60,
      ""sub_themes"": [""Skiing"", ""Baseball"", ""Alpine skiing""],
      ""keywords"": [""ski mountains"", ""Baseball Portraits"", ""Kashin Publications""],
      ""sentiment"": ""positive""
    },
    {
      ""name"": ""Music and Arts"",
      ""confidence"": 70,
      ""sub_themes"": [""Music"", ""Art"", ""Film""],
      ""keywords"": [""TrainwreckMovie"", ""AmySchumer"", ""LinkinPark"", ""Megan Abbot""],
      ""sentiment"": ""positive""
    },
    {
      ""name"": ""Business and Technology"",
      ""confidence"": 80,
      ""sub_themes"": [""Small Business"", ""Technology"", ""Neon studio""],
      ""keywords"": [""Small Business Boss"", ""UrbanGlass"", ""neon studio""],
      ""sentiment"": ""neutral""
    },
    {
      ""name"": ""Pop Culture and Memes"",
      ""confidence"": 65,
      ""sub_themes"": [""Memes"", ""Pop culture"", ""Gaming""],
      ""keywords"": [""BONG BONG"", ""Spoopy"", ""howdy""],
      ""sentiment"": ""neutral""
    },
    {
      ""name"": ""Future and Innovation"",
      ""confidence"": 90,
      ""sub_themes"": [""Future"", ""Innovation"", ""Driverless taxi""],
      ""keywords"": [""Driverless taxi"", ""Tokyo""],
      ""sentiment"": ""neutral""
    }
  ],
  ""metadata"": {
    ""tweet_length"": 350,
    ""language"": ""English"",
    ""contains_hashtags"": true,
    ""contains_mentions"": true
  }
}
```",
60,"{
  ""themes"": [
    {
      ""name"": ""Entertainment"",
      ""confidence"": 80,
      ""sub_themes"": [
        ""Movies"",
        ""Comedy"",
        ""Music"",
        ""Celebrity News""
      ],
      ""keywords"": [
        ""TIFF"",
        ""Lionheart"",
        ""Netflix"",
        ""Comedy Central"",
        ""Roast"",
        ""Paul Mooney"",
        ""Lena Dunham""
      ],
      ""sentiment"": ""positive""
    },
    {
      ""name"": ""Politics"",
      ""confidence"": 90,
      ""sub_themes"": [
        ""Government"",
        ""International Relations"",
        ""Economy""
      ],
      ""keywords"": [
        ""PakDefenceProduction"",
        ""Panama Papers"",
        ""Money Laundering"",
        ""Corruption"",
        ""Assets' Concealment"",
        ""Tax Evasion"",
        ""Mexico"",
        ""Trade Deal""
      ],
      ""sentiment"": ""negative""
    },
    {
      ""name"": ""Technology"",
      ""confidence"": 85,
      ""sub_themes"": [
        ""Artificial Intelligence"",
        ""Robotics"",
        ""Cybersecurity""
      ],
      ""keywords"": [
        ""Google"",
        ""Pentagon"",
        ""A.I. Project"",
        ""Malvertising"",
        ""Apple Pay"",
        ""InfoSecMag""
      ],
      ""sentiment"": ""neutral""
    },
    {
      ""name"": ""Sports"",
      ""confidence"": 60,
      ""sub_themes"": [
        ""Fitness"",
        ""Health""
      ],
      ""keywords"": [
        ""Vineyille"",
        ""Jokes"",
        ""Stand-up Comedy"",
        ""Bulb"",
        ""Water"",
        ""Energy Reserves""
      ],
      ""sentiment"": ""positive""
    },
    {
      ""name"": ""Social Issues"",
      ""confidence"": 80,
      ""sub_themes"": [
        ""Gun Control"",
        ""Mental Health"",
        ""Education""
      ],
      ""keywords"": [
        ""Gun Sense"",
        ""Candidates"",
        ""Rally"",
        ""MomsDemand"",
        ""Schools"",
        ""Movie Theaters"",
        ""Places of Worship"",
        ""Yoga Studios"",
        ""Malls""
      ],
      ""sentiment"": ""negative""
    },
    {
      ""name"": ""Education"",
      ""confidence"": 70,
      ""sub_themes"": [
        ""Calculus"",
        ""Vectors"",
        ""Social Life""
      ],
      ""keywords"": [
        ""Weekend"",
        ""Vectors"",
        ""Calculus""
      ],
      ""sentiment"": ""neutral""
    },
    {
      ""name"": ""News"",
      ""confidence"": 90,
      ""sub_themes"": [
        ""Politics"",
        ""International News"",
        ""Business""
      ],
      ""keywords"": [
        ""Goldsboro"",
        ""Nuclear Accident"",
        ""U.S."",
        ""Report"",
        ""Fail-Safes""
      ],
      ""sentiment"": ""neutral""
    },
    {
      ""name"": ""Business"",
      ""confidence"": 80,
      ""sub_themes"": [
        ""Economy"",
        ""Finance""
      ],
      ""keywords"": [
        ""Google"",
        ""Pentagon"",
        ""A.I. Project"",
        ""Malvertising"",
        ""Apple Pay"",
        ""InfoSecMag""
      ],
      ""sentiment"": ""neutral""
    }
  ],
  ""metadata"": {
    ""tweet_length"": 50,
    ""language"": ""English"",
    ""contains_hashtags"": true,
    ""contains_mentions"": true
  }
}",
60,,"Error code: 429 - {'error': {'message': 'Request was rejected due to request rate limiting. Your rate limits are 60 RPM (1 QPS) and 60000 TPM (1000 TPS). See details: https://docs.together.ai/docs/rate-limits', 'type': 'credit_limit', 'param': None, 'code': None}}"
60,,"Error code: 429 - {'error': {'message': 'Request was rejected due to request rate limiting. Your rate limits are 60 RPM (1 QPS) and 60000 TPM (1000 TPS). See details: https://docs.together.ai/docs/rate-limits', 'type': 'credit_limit', 'param': None, 'code': None}}"
60,,"Error code: 429 - {'error': {'message': 'Request was rejected due to request rate limiting. Your rate limits are 60 RPM (1 QPS) and 60000 TPM (1000 TPS). See details: https://docs.together.ai/docs/rate-limits', 'type': 'credit_limit', 'param': None, 'code': None}}"
