tweet_id,user_name,screen_name,text,created_at,retweet_count,like_count,search_keyword
1862885549847220417,GreenMoss Capital,GreenMossINV,"The Largest Pharmaceutical Stocks by Market Cap (As of November 29, 2024)

1.🇺🇸 Eli Lilly $LLY : $755B
2.🇩🇰 Novo Nordisk $NVO : $475B
3.🇺🇸 Johnson &amp; Johnson $JNJ : $373B
4. 🇺🇸 AbbVie $ABBV : $323B
5.🇺🇸 Merck &amp; Co. $MRK : $257B
6.🇨🇭 Roche $RHHBY : $231B
7.🇨🇭 Novartis $NVS : $211B https://t.co/hyWVxjSJb9",Sat Nov 30 15:45:00 +0000 2024,0,0,Novo Nordisk
1860719438225375240,Quality Stocks,Quality_stocksA,"🇩🇰 Novo Nordisk $NVO one pager

🏆 Score 7.9/10
🎯 My fair price is around 770DKK

🐂 Bull case
- Incredible profitability
- Diabete and obesity tailwind
- Good balance sheet for further investments (pipeline, acquisition)

🐻 Bear case
- Strenghtening competition
- Lower 2025 https://t.co/zCNntnabhf",Sun Nov 24 16:17:39 +0000 2024,29,160,Novo Nordisk
1634584989638725632,The Investing for Beginners Podcast,IFB_podcast,"1/37 Today's shallow dive focuses on $NVO Novo Nordisk, the global leader in diabetes with a market share of 31%+.

We will look at the biz model, moat, capital allocation, mgmt, and valuation.

Cool money stuff from @stratosphere_io and commentary from mgmt @Quartr_App

🧵 https://t.co/vLTJiN8GFb",Sat Mar 11 16:00:05 +0000 2023,80,440,Novo Nordisk
1862880134283333849,Fürsterling.dk,FursterlingTA,"DEL 2

Teknisk Handelsanalyse (studie) for Novo Nordisk B (NOVO B)

Handelsforslag:

Kortsigtet (1 uge):
Køb ved støtte: Hvis aktien nærmer sig 700 DKK, køb med stop loss på 690 DKK.
Take profit ved 770 DKK.
Køb ved brud: 
Hvis aktien bryder over 780 DKK, køb med stop loss ved https://t.co/KVCtbs3FA1",Sat Nov 30 15:23:29 +0000 2024,0,0,Novo Nordisk
1862578552488509669,Buck Parish,flatbush711,"Just another Scam from the Dirty Communist Bastards

Eli Lilly and Novo Nordisk shares rose Tuesday after the Biden administration proposed expanding coverage of the companies' popular weight-loss drugs in government-backed healthcare plans including Medicare and Medicaid. https://t.co/uK7XfgnF6R",Fri Nov 29 19:25:06 +0000 2024,0,2,Novo Nordisk
1862458532416590198,Oliver | MMMT Wealth (CPA),MMMTwealth,"2. Novo Nordisk | $NOVO 🇩🇰

Revenue growth: 26%
EV/Sales: 12.13x
EV/FCF: 42.21x

$NOVO is down 20% in the last 6 months on GLP-1 concerns, and supply chain issues. For me, these are all short term issues that will get resolved. I still think on a multiple basis, it's not that https://t.co/oAgQHY0m2f",Fri Nov 29 11:28:11 +0000 2024,1,24,Novo Nordisk
1862144603207377007,Ahmed Alardi,PhAhmedd,"سمعتوا عن الانسولين الجديد من Novo Nordisk ؟ .. اللي أقدر اسميه ""الإنسولين الذكي""😎

ثورة جديدة وواعدة في علاج السكري !👏🏻 
NNC2215 https://t.co/QPxyaXPX8P",Thu Nov 28 14:40:45 +0000 2024,19,64,Novo Nordisk
1862829881559511423,WSJ Markets,WSJmarkets,Heard on the Street: Amgen could have an obesity drug on the market within a few years. But Lilly and Novo Nordisk’s market leadership isn’t about to be upended https://t.co/p2F8yZGe34,Sat Nov 30 12:03:48 +0000 2024,1,5,Novo Nordisk
1846608289884524977,Camus,newstart_2024,"Robert F. Kennedy Jr.: ""Today, over 100 members of Congress support a bill to fund Ozempic with Medicare at $1,500 a month. Most of these members have taken money from the manufacturer of that product, a European company called Novo Nordisk. As everyone knows, once a drug is https://t.co/qrken4yM75",Wed Oct 16 17:44:59 +0000 2024,20267,56822,Novo Nordisk
1862774398505169211,L’investisseur long terme,linvestisseurLT,"1️⃣ Novo Nordisk 

Novo Dordisk est un leader mondial dans le traitement du diabète, des troubles hormonaux et des maladies cardiovasculaires.

✅ Marge nette : 36.03%.
✅ Croissance du CA depuis 2014 : +11.24%/an.
✅ Performance sur 5 ans : +268.57%.

[2/12] https://t.co/JlmVxpXuVA",Sat Nov 30 08:23:19 +0000 2024,0,9,Novo Nordisk
1862856054955999316,Heard on the Street,WSJheard,Eli Lilly and Novo Nordisk inevitably are facing many challengers for their lucrative obesity drugs. Their moat just got a bit stronger explains @david_wainer  https://t.co/l9jCoJvgie $LLY $NVO $AMGN,Sat Nov 30 13:47:48 +0000 2024,0,0,Novo Nordisk
1861724214174060936,G.A Inversor Tendencial,amongthelong,"🆘Ofrezco ayuda a inversores recientes de $NVO $NOV Novo Nordisk. 

📉Consolidar semejante impulso de LP es necesario, probable retroceso a zonas de 75-85 DKK, un retroceso de -50% sería sano, el problema es el tiempo que puede estar de capa caída.

📩Para ayuda 📩
🙏Retuitea🙏 https://t.co/J4rUCTieVI",Wed Nov 27 10:50:16 +0000 2024,0,4,Novo Nordisk
1854236893749325830,Trung Phan,TrungTPhan,when you realize Ozempic maker Novo Nordisk ($470B) has almost exact same market cap as Coca-Cola and McDonald’s combined ($485B) https://t.co/1sSMf5m0gg,Wed Nov 06 18:58:20 +0000 2024,73,557,Novo Nordisk
1861306371301314698,Novo Nordisk Foundation,novonordiskfond,"The dyeing of denim traditionally relies on various harsh chemicals and causes significant environmental pollution. However, researchers in Denmark are aiming to change that through an innovative new dyeing method. The groundbreaking technique uses an aqueous solution of indican https://t.co/NlNX6NBrVZ",Tue Nov 26 07:09:54 +0000 2024,0,10,Novo Nordisk
1861976075841978642,MAK,MakiaVlo,"No compren Ozempic, mejor compren acciones de la empresa que los fabrica Novo-Nordisk, están en muy buen precio

Terminó figura técnica de HCH, viene subida, está todavía a $106 dolaritos

Forma parte de mi 💼.
Luego no digan que no les dije https://t.co/KqQsRTt8bM",Thu Nov 28 03:31:04 +0000 2024,0,2,Novo Nordisk
1752648341245268246,Strategi + Bisnis,Strategi_Bisnis,"Ozempic ini benar2 lagi happening di amrik. Mega best seller. Obat pengurus badan yg terbukti valid scra saintifik. Pil ajaib bagi yg mau turun badan dg cepat. 

Yg bkin Novo Nordisk - produsen insulin terbesar dunia dari Denmark. 

Saham Novo Nordisk meroket gara2 Ozempic. https://t.co/kh7iC9dsvQ",Wed Jan 31 11:01:41 +0000 2024,1057,5221,Novo Nordisk
1861471704473559447,Bernie Sanders,SenSanders,"Unless Medicare demands that Big Pharma substantially reduces the prices for anti-obesity drugs, Medicare premiums for all seniors will skyrocket.

We cannot allow Medicare and Medicaid to simply be a cash cow for Novo Nordisk and Eli Lilly. https://t.co/gZzmI5WeOq",Tue Nov 26 18:06:53 +0000 2024,454,1936,Novo Nordisk
1859987775971328204,Streetinsider.com,Street_Insider,"Barclays says buy Novo Nordisk $NVO stock 'into this critically important catalyst'
https://t.co/1QfrAJAlED https://t.co/MHad1mW1O3",Fri Nov 22 15:50:17 +0000 2024,0,4,Novo Nordisk
1859000197591761362,unusual_whales,unusual_whales,"Novo Nordisk launches its top-selling Wegovy obesity drug in China at a fraction of the US price.

If you are interested in GLP-1 drugs, we partnered with $HRTS by @Temaetfs, the first GLP-1 ETF in the world.  

Learn More: https://t.co/OIEBtvSZLO https://t.co/sdAdVmNfXz",Tue Nov 19 22:26:00 +0000 2024,12,89,Novo Nordisk
1854252998840680765,App Economy Insights,EconomyApp,"$NVO Novo Nordisk Q3 FY24

Revenue +23% to DKK 71.3M or $10.2B.
• Ozempic +26% to $4.3B ($0.2B miss).
• Wegovy +81% to $2.5B ($0.2B beat).

Outlook:
• FY24 narrowed at 23% to 27%.
• FY25 in the high teens (20% expected). https://t.co/gauk88gij5",Wed Nov 06 20:02:19 +0000 2024,116,566,Novo Nordisk
