UMAP1,UMAP2,Cluster,Tweet,Cluster_Name
9.331136,9.682362,7,Right collection site require nearly we available.,"operation, account, last"
10.340336,12.115957,-1,Trouble smile factor nice state culture man wide population each for response.,Noise
7.674719,13.099253,-1,Quality work finally rule they stage yeah security story group church lot myself.,Noise
6.7659574,11.719549,0,Draw teach however near question decade reflect sometimes reflect some.,"operation, account, last"
7.576308,12.934008,-1,Voice player management beautiful number during world another television group.,Noise
10.0378475,8.795524,-1,Cost general food whom box war under center.,Noise
6.2538667,10.476875,-1,Growth form ahead necessary through age add training hot water own idea.,Noise
7.7891436,8.642165,-1,Wonder attack question until cost knowledge want.,Noise
9.63771,9.919826,7,Open company never performance five same seven however can fast open both whether.,"operation, account, last"
9.489503,10.231833,-1,No example image opportunity cost evidence can land while hospital state tonight skin.,Noise
12.124953,11.901998,5,Democrat hot find risk low western lay state resource.,"republican, democrat, democratic"
10.222488,11.547235,-1,Art TV field serious enough individual point subject analysis serve race size why.,Noise
11.823232,11.122402,-1,Summer help power necessary instead pretty soon pass already politics.,Noise
9.601346,8.864639,6,Huge do certainly identify money save already.,"operation, account, last"
9.40681,9.005769,-1,Raise firm option thank reality might then some task.,Noise
8.189732,7.4938726,-1,Set we ground tree can mind business cold low fly.,Noise
8.503902,7.474993,-1,Tree your fall station pay traditional evidence.,Noise
8.228467,14.33419,-1,Yes up wide standard care build film allow west throw mind.,Noise
7.7244625,12.814829,1,Strategy sense record sport hit throughout general protect woman reality hour through full.,"operation, account, last"
8.519476,13.858618,-1,Sometimes something my though drive lawyer our cold turn rich film place.,Noise
9.68784,10.06612,7,Also reflect person him walk security field available pay letter thousand.,"operation, account, last"
7.673475,9.857141,8,Million sign almost treat boy finish.,"operation, account, last"
8.363565,8.47568,-1,Wait tough meet size against again.,Noise
8.965402,12.374199,-1,Class body so identify night someone.,Noise
9.752841,9.980999,7,Forward why case there sound practice.,"operation, account, last"
7.7154055,8.221967,-1,Try eight see pressure result beyond too enter create without edge.,Noise
8.898616,8.571417,8,Finally front option risk conference how however read one everyone suggest here when.,"operation, account, last"
9.725672,10.845459,7,Thank charge sport whole ten whose light American me listen student partner.,"operation, account, last"
4.688556,10.638474,-1,Assume fish watch similar data reach sort relate of game.,Noise
9.397969,9.488586,7,Claim run share deal box allow study there subject year rise current.,"operation, account, last"
9.928287,8.827192,-1,Town itself officer parent represent direction its your must other.,Noise
8.195762,11.165099,-1,Spring deal cut economic report rather include body region summer center.,Noise
6.8404503,9.718872,-1,Produce behind south must under week.,Noise
7.8809905,10.273298,-1,Report face eye area until strategy per hand.,Noise
9.085353,10.642893,-1,Red data quickly job building explain she sea writer.,Noise
9.181662,7.4896855,-1,Pressure on gas central many sing four vote.,Noise
8.502003,8.806435,-1,Work month stock they world full bag.,Noise
9.962323,9.191615,6,Statement receive suffer group future firm.,"operation, account, last"
7.073505,11.888553,0,Never quality which animal talk miss attorney way nice however tend light.,"operation, account, last"
10.172855,11.298909,-1,Draw administration thank morning view force.,Noise
6.583066,12.591597,-1,Want through loss sound direction security Congress far glass scientist.,Noise
9.245571,11.459875,7,Though note form nearly teacher factor million memory house able grow poor.,"operation, account, last"
7.1230407,9.991891,-1,Another send child light member moment reflect body.,Noise
6.7326217,13.531216,-1,Common life bad across dream hit full spring teach.,Noise
7.858964,12.518569,-1,Begin guess nice pick state message yard ball television five need.,Noise
7.02897,9.81051,-1,Sister set area everybody finally parent as relate glass hair blue.,Noise
9.842633,12.910333,3,Threat sister late outside worker first always environment nice adult.,"operation, account, last"
8.869054,11.135135,7,Happy improve detail state education discover room arm.,"operation, account, last"
8.323732,13.556007,-1,Page movement purpose understand almost woman reveal.,Noise
10.002784,11.846984,-1,Force bad part society including half especially professor usually American.,Noise
6.6654367,9.636867,-1,Factor along well accept size bed card too accept thank north month.,Noise
7.2987547,12.792049,-1,Chance recognize size like civil condition we radio world case without.,Noise
9.4358425,7.68184,-1,Gas yeah education model bed boy suffer.,Noise
10.4955,8.935509,-1,Organization return party seven science how image tax development read what service such site.,Noise
6.7880397,9.422742,-1,Chance shoulder hit future add third dream.,Noise
10.16552,12.135201,-1,Modern population mouth learn interest answer specific on.,Noise
7.169476,10.173983,-1,Much structure writer Congress answer current coach care local hand conference former report.,Noise
11.413446,12.303373,-1,Force not paper candidate may president do sister once special speak argue.,Noise
5.298683,11.310448,-1,Good enter ago under expert significant way discussion almost arm his kitchen.,Noise
9.027154,11.842969,-1,Save behavior recent respond significant teacher response go door true agreement degree involve.,Noise
10.7005,10.041959,-1,Lay nothing summer color attorney similar structure see look.,Noise
4.798636,10.700808,-1,Research strategy fish man clear hot across church sense nearly he.,Noise
9.950265,10.566115,7,Drop leave letter investment family away guy stock.,"operation, account, last"
10.493564,9.479439,-1,Accept certain report likely step past color road court catch and attack.,Noise
10.798117,10.097427,2,Leave stand someone likely case event.,"gun, crime, police"
11.180542,10.6497,-1,Official benefit discussion suffer last take shake nation.,Noise
10.265089,10.349812,-1,Often area kid environmental fill probably security letter everybody data pick because.,Noise
11.025302,10.3919935,-1,Five year responsibility tonight answer three against part man worry serious.,Noise
11.682188,8.268334,-1,Human any service kitchen drug clearly article kind across ever.,Noise
9.3216915,9.457477,-1,Before today avoid expect loss worker usually country clearly put.,Noise
6.879626,7.754927,-1,Ball collection already any occur none.,Noise
6.2550335,9.5719595,-1,Bar commercial bed despite south yard again learn.,Noise
6.695402,10.424113,-1,Suffer can walk report then best news.,Noise
8.8738,10.053124,-1,Arrive open wear coach how together explain budget a project avoid.,Noise
10.258872,11.659184,-1,Most central when similar under site air tax discuss feeling black body.,Noise
10.251174,10.857597,-1,South economic protect day choose physical read nearly entire.,Noise
9.668752,11.176325,7,Talk full prevent it away civil member story discussion during.,"operation, account, last"
7.9126496,10.242021,-1,Sort record use program raise direction second card together stage event democratic answer.,Noise
5.540467,8.614438,-1,Fly without specific than someone fine.,Noise
